position,field_name,sample_value
555,Secondary Borrower 2 HMDA Ethnicity Type 3 (Sort ID 609.1-HMDAEthnicityType),
556,Secondary Borrower 2 HMDA Gender Collected Based On Visual Observation Or Name Indicator,
557,Secondary Borrower 2 HMDA Gender Refusal Indicator,
558,Secondary Borrower 2 HMDA Gender Type (Sort ID 608.3-HMDAGenderType),
559,Secondary Borrower 2 HMDA Race Collected Based On Visual Observation Or Surname Indicator,
560,Secondary Borrower 2 HMDA Race Designation Other Asian Description,
561,Secondary Borrower 2 HMDA Race Designation Other Pacific Islander Description,
562,Secondary Borrower 2 HMDA Race Designation Type 1,
563,Secondary Borrower 2 HMDA Race Designation Type 2,
564,Secondary Borrower 2 HMDA Race Designation Type 3,
565,Secondary Borrower 2 HMDA Race Designation Type 4,
566,Secondary Borrower 2 HMDA Race Designation Type 5,
567,Secondary Borrower 2 HMDA Race Designation Type 6,
568,Secondary Borrower 2 HMDA Race Designation Type 7,
569,Secondary Borrower 2 HMDA Race Designation Type 8,
570,Secondary Borrower 2 HMDA Race Designation Type 9,
571,Secondary Borrower 2 HMDA Race Designation Type 10,
572,Secondary Borrower 2 HMDA Race Designation Type 11,
573,Secondary Borrower 2 HMDA Race Designation Type 12,
574,Secondary Borrower 2 HMDA Race Designation Type 13,
575,Secondary Borrower 2 HMDA Race Refusal Indicator,
576,Secondary Borrower 2 HMDA Race Type 1,
577,Secondary Borrower 2 HMDA Race Type 2,
578,Secondary Borrower 2 HMDA Race Type 3,
579,Secondary Borrower 2 HMDA Race Type 4,
580,Secondary Borrower 2 HMDA Race Type 5,
581,Secondary Borrower 2 HMDA Race Type 1 (Sort ID 610.5-HMDARaceType),
582,Secondary Borrower 2 HMDA Race Type 2 (Sort ID 610.5-HMDARaceType),
583,Secondary Borrower 2 HMDA Race Type 3 (Sort ID 610.5-HMDARaceType),
584,Secondary Borrower 2 HMDA Race Type 4 (Sort ID 610.5-HMDARaceType),
585,Secondary Borrower 2 HMDA Race Type 5 (Sort ID 610.5-HMDARaceType),
586,Secondary Borrower 2 HMDA Race Type 6 (Sort ID 610.5-HMDARaceType),
587,Secondary Borrower 2 HMDA Race Type 7 (Sort ID 610.5-HMDARaceType),
588,Secondary Borrower 2 HMDA Race Type Additional Description,
589,Secondary Borrower 2 First Name,
590,Secondary Borrower 2 Last Name,
591,Secondary Borrower 2 Middle Name,
592,Secondary Borrower 2 Suffix Name,
593,Secondary Borrower 2 Taxpayer Identifier Type,
594,Secondary Borrower 2 Taxpayer Identifier Value,
595,Secondary Borrower 3 Address Line Text,
596,Secondary Borrower 3 Address Type,
597,Secondary Borrower 3 City Name,
598,Secondary Borrower 3 Country Code,
599,Secondary Borrower 3 Postal Code,
600,Secondary Borrower 3 State Code,
601,Secondary Borrower 3 Mail To Address Same as Property Indicator,
602,Secondary Borrower 3 Age At Application Years Count,
603,Secondary Borrower 3 Birth Date,
604,Secondary Borrower 3 Classification Type,
605,Secondary Borrower 3 Qualifying Income Amount,
606,Secondary Borrower 3 Counseling Confirmation Type,
607,Secondary Borrower 3 Counseling Format Type,
608,Secondary Borrower 3 Credit Report Identifier,
609,Secondary Borrower 3 Credit Repository Source Indicator,
610,Secondary Borrower 3 Credit Repository Source Type,
611,Secondary Borrower 3 Credit Score Value,
612,Secondary Borrower 3 Credit Score Provider Name,
613,Secondary Borrower 3 Bankruptcy Indicator,
614,Secondary Borrower 3 Citizenship Residency Type,
615,Secondary Borrower 3 First Time Homebuyer Indicator,
616,Secondary Borrower 3 Loan Foreclosure Or Judgment Indicator,
617,Secondary Borrower 3 Employment Borrower Self Employed Indicator,
618,Secondary Borrower 3 Gender Type,
619,Secondary Borrower 3 HMDA Ethnicity Collected Based On Visual Observation Or Surname Indicator,
620,Secondary Borrower 3 HMDA Ethnicity Origin Type 1,
621,Secondary Borrower 3 HMDA Ethnicity Origin Type 2,
622,Secondary Borrower 3 HMDA Ethnicity Origin Type 3,
623,Secondary Borrower 3 HMDA Ethnicity Origin Type 4,
624,Secondary Borrower 3 HMDA Ethnicity Origin Type Other Description,
625,Secondary Borrower 3 HMDA Ethnicity Refusal Indicator,
626,Secondary Borrower 3 HMDA Ethnicity Type,
627,Secondary Borrower 3 HMDA Ethnicity Type 1 (Sort ID 609.1-HMDAEthnicityType),
628,Secondary Borrower 3 HMDA Ethnicity Type 2 (Sort ID 609.1-HMDAEthnicityType),
629,Secondary Borrower 3 HMDA Ethnicity Type 3 (Sort ID 609.1-HMDAEthnicityType),
630,Secondary Borrower 3 HMDA Gender Collected Based On Visual Observation Or Name Indicator,
631,Secondary Borrower 3 HMDA Gender Refusal Indicator,
632,Secondary Borrower 3 HMDA Gender Type (Sort ID 608.3-HMDAGenderType),
633,Secondary Borrower 3 HMDA Race Collected Based On Visual Observation Or Surname Indicator,
634,Secondary Borrower 3 HMDA Race Designation Other Asian Description,
635,Secondary Borrower 3 HMDA Race Designation Other Pacific Islander Description,
636,Secondary Borrower 3 HMDA Race Designation Type 1,
637,Secondary Borrower 3 HMDA Race Designation Type 2,
638,Secondary Borrower 3 HMDA Race Designation Type 3,
639,Secondary Borrower 3 HMDA Race Designation Type 4,
640,Secondary Borrower 3 HMDA Race Designation Type 5,
641,Secondary Borrower 3 HMDA Race Designation Type 6,
642,Secondary Borrower 3 HMDA Race Designation Type 7,
643,Secondary Borrower 3 HMDA Race Designation Type 8,
644,Secondary Borrower 3 HMDA Race Designation Type 9,
645,Secondary Borrower 3 HMDA Race Designation Type 10,
646,Secondary Borrower 3 HMDA Race Designation Type 11,
647,Secondary Borrower 3 HMDA Race Designation Type 12,
648,Secondary Borrower 3 HMDA Race Designation Type 13,
649,Secondary Borrower 3 HMDA Race Refusal Indicator,
650,Secondary Borrower 3 HMDA Race Type 1,
651,Secondary Borrower 3 HMDA Race Type 2,
652,Secondary Borrower 3 HMDA Race Type 3,
653,Secondary Borrower 3 HMDA Race Type 4,
654,Secondary Borrower 3 HMDA Race Type 5,
655,Secondary Borrower 3 HMDA Race Type 1 (Sort ID 610.5-HMDARaceType),
656,Secondary Borrower 3 HMDA Race Type 2 (Sort ID 610.5-HMDARaceType),
657,Secondary Borrower 3 HMDA Race Type 3 (Sort ID 610.5-HMDARaceType),
658,Secondary Borrower 3 HMDA Race Type 4 (Sort ID 610.5-HMDARaceType),
659,Secondary Borrower 3 HMDA Race Type 5 (Sort ID 610.5-HMDARaceType),
660,Secondary Borrower 3 HMDA Race Type 6 (Sort ID 610.5-HMDARaceType),
661,Secondary Borrower 3 HMDA Race Type 7 (Sort ID 610.5-HMDARaceType),
662,Secondary Borrower 3 HMDA Race Type Additional Description,
663,Secondary Borrower 3 First Name,
664,Secondary Borrower 3 Last Name,
665,Secondary Borrower 3 Middle Name,
666,Secondary Borrower 3 Suffix Name,
667,Secondary Borrower 3 Taxpayer Identifier Type,
668,Secondary Borrower 3 Taxpayer Identifier Value,
669,Secondary Borrower 4 Address Line Text,
670,Secondary Borrower 4 Address Type,
671,Secondary Borrower 4 City Name,
672,Secondary Borrower 4 Country Code,
673,Secondary Borrower 4 Postal Code,
674,Secondary Borrower 4 State Code,
675,Secondary Borrower 4 Mail To Address Same as Property Indicator,
676,Secondary Borrower 4 Age At Application Years Count,
677,Secondary Borrower 4 Birth Date,
678,Secondary Borrower 4 Classification Type,
679,Secondary Borrower 4 Qualifying Income Amount,
680,Secondary Borrower 4 Counseling Confirmation Type,
681,Secondary Borrower 4 Counseling Format Type,
682,Secondary Borrower 4 Credit Report Identifier,
683,Secondary Borrower 4 Credit Repository Source Indicator,
684,Secondary Borrower 4 Credit Repository Source Type,
685,Secondary Borrower 4 Credit Score Value,
686,Secondary Borrower 4 Credit Score Provider Name,
687,Secondary Borrower 4 Bankruptcy Indicator,
688,Secondary Borrower 4 Citizenship Residency Type,
689,Secondary Borrower 4 First Time Homebuyer Indicator,
690,Secondary Borrower 4 Loan Foreclosure Or Judgment Indicator,
691,Secondary Borrower 4 Employment Borrower Self Employed Indicator,
692,Secondary Borrower 4 Gender Type,
693,Secondary Borrower 4 HMDA Ethnicity Collected Based On Visual Observation Or Surname Indicator,
694,Secondary Borrower 4 HMDA Ethnicity Origin Type 1,
695,Secondary Borrower 4 HMDA Ethnicity Origin Type 2,
696,Secondary Borrower 4 HMDA Ethnicity Origin Type 3,
697,Secondary Borrower 4 HMDA Ethnicity Origin Type 4,
698,Secondary Borrower 4 HMDA Ethnicity Origin Type Other Description,
699,Secondary Borrower 4 HMDA Ethnicity Refusal Indicator,
700,Secondary Borrower 4 HMDA Ethnicity Type,
701,Secondary Borrower 4 HMDA Ethnicity Type 1 (Sort ID 609.1-HMDAEthnicityType),
702,Secondary Borrower 4 HMDA Ethnicity Type 2 (Sort ID 609.1-HMDAEthnicityType),
703,Secondary Borrower 4 HMDA Ethnicity Type 3 (Sort ID 609.1-HMDAEthnicityType),
704,Secondary Borrower 4 HMDA Gender Collected Based On Visual Observation Or Name Indicator,
705,Secondary Borrower 4 HMDA Gender Refusal Indicator,
706,Secondary Borrower 4 HMDA Gender Type (Sort ID 608.3-HMDAGenderType),
707,Secondary Borrower 4 HMDA Race Collected Based On Visual Observation Or Surname Indicator,
708,Secondary Borrower 4 HMDA Race Designation Other Asian Description,
709,Secondary Borrower 4 HMDA Race Designation Other Pacific Islander Description,
710,Secondary Borrower 4 HMDA Race Designation Type 1,
711,Secondary Borrower 4 HMDA Race Designation Type 2,
712,Secondary Borrower 4 HMDA Race Designation Type 3,
713,Secondary Borrower 4 HMDA Race Designation Type 4,
714,Secondary Borrower 4 HMDA Race Designation Type 5,
715,Secondary Borrower 4 HMDA Race Designation Type 6,
716,Secondary Borrower 4 HMDA Race Designation Type 7,
717,Secondary Borrower 4 HMDA Race Designation Type 8,
718,Secondary Borrower 4 HMDA Race Designation Type 9,
719,Secondary Borrower 4 HMDA Race Designation Type 10,
720,Secondary Borrower 4 HMDA Race Designation Type 11,
721,Secondary Borrower 4 HMDA Race Designation Type 12,
722,Secondary Borrower 4 HMDA Race Designation Type 13,
723,Secondary Borrower 4 HMDA Race Refusal Indicator,
724,Secondary Borrower 4 HMDA Race Type 1,
725,Secondary Borrower 4 HMDA Race Type 2,
726,Secondary Borrower 4 HMDA Race Type 3,
727,Secondary Borrower 4 HMDA Race Type 4,
728,Secondary Borrower 4 HMDA Race Type 5,
729,Secondary Borrower 4 HMDA Race Type 1 (Sort ID 610.5-HMDARaceType),
730,Secondary Borrower 4 HMDA Race Type 2 (Sort ID 610.5-HMDARaceType),
731,Secondary Borrower 4 HMDA Race Type 3 (Sort ID 610.5-HMDARaceType),
732,Secondary Borrower 4 HMDA Race Type 4 (Sort ID 610.5-HMDARaceType),
733,Secondary Borrower 4 HMDA Race Type 5 (Sort ID 610.5-HMDARaceType),
734,Secondary Borrower 4 HMDA Race Type 6 (Sort ID 610.5-HMDARaceType),
735,Secondary Borrower 4 HMDA Race Type 7 (Sort ID 610.5-HMDARaceType),
736,Secondary Borrower 4 HMDA Race Type Additional Description,
737,Secondary Borrower 4 First Name,
738,Secondary Borrower 4 Last Name,
739,Secondary Borrower 4 Middle Name,
740,Secondary Borrower 4 Suffix Name,
741,Secondary Borrower 4 Taxpayer Identifier Type,
742,Secondary Borrower 4 Taxpayer Identifier Value,
743,Loan Origination Company Identifier,1850
744,Loan Originator Type,Lender
745,Loan Originator Identifier,221971
746,Note Pay To (Company Name),AMERICAN PACIFIC MTG CORP DBA AMERICAN PACIFIC MORTGAGE
747,Seller Identifier,139930
748,Warehouse Lender Identifier,258129
749,Property Address Line Text,1005 Peralta Ave
750,Property City Name,Albany
751,Property Postal Code,94706
752,Property State Code,CA
753,AVM Model Name Type,
754,Special Flood Hazard Area Indicator,false
755,Manufactured Home Width Type,
756,Condominium Project Status Type,Established
757,Project Attachment Type,Attached
758,Project Classification Identifier,FullReview
759,Project Design Type,MidriseProject
760,Project Dwelling Unit Count,0
761,Project Dwelling Units Sold Count,0
762,Project Legal Structure Type,Condominium
763,Project Name,Gateway Towers
764,PUD Indicator,false
765,Attachment Type,Detached
766,Construction Method Type,SiteBuilt
767,Financed Unit Count,1
768,Property Estate Type,FeeSimple
769,Property Flood Insurance Indicator,false
770,Property Structure Built Year,1925
771,Property Usage Type,PrimaryResidence
772,Bedroom Count 1,3
773,Bedroom Count 2,1
774,Bedroom Count 3,
775,Bedroom Count 4,
776,Property Dwelling Unit Eligible Rent Amount 1,30000
777,Property Dwelling Unit Eligible Rent Amount 2,1000
778,Property Dwelling Unit Eligible Rent Amount 3,
779,Property Dwelling Unit Eligible Rent Amount 4,
780,Appraisal Identifier,1102535A6D
781,Property Valuation Amount,1800000
782,Property Valuation Effective Date,01/23/2026
783,Property Valuation Form Type,UniformResidentialAppraisalReport
784,Property Valuation Method Type,FullAppraisal
