position,field_name,sample_value
124,PMI 80PCT CANCELLATION DATE,04/01/2026
125,PMI 78PCT TERMINATION DATE,04/01/2026
126,PMI MIDPOINT DATE,51592
127,FHA CASE NUMBER,
128,FHA SECTION CODE,
129,FHA ADP CODE,
130,VA NUMBER,
131,DIST TYPE,
132,REPLACEMENT RESERVE BALANCE,0
133,PERIOD MONTHS,
134,FIRST SUBSIDY DUE DATE,46113
135,BUYDOWN FUNDS SOURCE,
136,SUBSIDY PERIOD 1 PMT,0
137,SUBSIDY PERIOD 2 PMT,0
138,SUBSIDY PERIOD 3 PMT,0
139,SUBSIDY PERIOD 3 PMT,0
140,SUBSIDY PERIOD 5 PMT,0
141,FNMA SPECIAL FEATURE CODE 1,
142,FNMA SPECIAL FEATURE CODE 2,
143,FNMA SPECIAL FEATURE CODE 3,
144,FNMA SPECIAL FEATURE CODE 4,
145,FNMA SPECIAL FEATURE CODE 5,
146,FNMA SPECIAL FEATURE CODE 6,
147,HIGH PRICED LOAN INDICATOR,N
148,QUALIFIED MORTGAGE,General QM
149,ESCROW WAIVER CODE,
150,USDA DUE DATE,
151,USDA ANNUAL DISB AMT,
152,USDA GUARANTEE,
153,USDA RHS CODE,
154,USDA CASE NUMBER BORROWER ID,
155,USDA UPFRONT AMOUNT,
156,ARM INDICATOR,N
157,ARM INDEX,0
158,ARM PLAN,
159,ARM MARGIN,0
160,ARM ORIGINAL IR CHANGE DATE,
161,ARM ORIGINAL PI CHANGE DATE,
162,ARM NEXT IR CHANGE DATE,
163,ARM NEXT PI CHANGE DATE,
164,ARM IR CHANGE PERIOD,
165,ARM PI CHANGE PERIOD,
166,SUBSEQUENT CHANGE PERIOD,
167,ROUNDING FACTOR,
168,LOOKBACK PERIOD,
169,LOL MAX CEILING PERCENTAGE,0
170,LOL MAX FLOOR PERCENTAGE,0
171,INITIAL PER CHANGE CAP UP,0
172,INITIAL PER CHANGE CAP DOWN,
173,NEXT CAP PER CHANGE,
174,OWNER TYPE,
175,DEVELOPMENT TYPE,
176,FOREIGN FLAG,
177,HO6 INDICATOR,
178,FLOOD CONTRACT TYPE,
179,SERVICE FEE RATE,
180,LOT NUMBER,
181,UPFRONT MI AMOUNT,0
182,INTEREST ON ESCROW  INDICATOR,
183,NEW CONSTRUCTION,
184,BORROWER DATE OF BIRTH,344
185,CO BORROWER DATE OF BIRTH,
186,UNIVERSAL LOAN ID,5493001xxxx1NWYH012251204478863
187,LPMI FLAG,
188,ENOTE,
189,YEAR PROPERTY BUILT,1918
190,ACH EFFECTIVE DATE,
191,ACH ROUT-TRANS NO,
192,ACH BANK ACCT NO,
193,ACH DELAY DAYS,
194,ACH ACCOUNT TYPE,
195,FOREIGN LANGUAGE INDICATOR,
196,HAZ INS TYPE 1,Hazard Ins
197,HAZ INS PAYEE 1,StateFarm
198,HAZ INS DUE DATE 1,46416
199,HAZ INS EXP DATE 1,46416
200,HAZ INS ESROW IND 1,Y
201,HAZ INS AMT COVER 1,314900
202,HAZ INS TYPE OF COVERAGE 1,
203,HAZ INS POL NUM 1,14-EY-P822-2
204,HAZ INS TYPE 2,Flood Ins
205,HAZ INS PAYEE 2,Corelogic
206,HAZ INS DUE DATE 2,46113
207,HAZ INS EXP DATE 2,
208,HAZ INS PREM AMT 2,0
209,HAZ INS ESROW IND 2,
210,HAZ INS AMT COVER 2,0
211,HAZ INS TYPE OF COVERAGE 2,
212,HAZ INS POL NUM 2,
213,HAZ INS TYPE 3,
214,HAZ INS PAYEE 3,
215,HAZ INS DUE DATE 3,46113
216,HAZ INS EXP DATE 3,
217,HAZ INS PREM AMT 3,0
218,HAZ INS ESROW IND 3,
219,HAZ INS AMT COVER 3,0
220,HAZ INS TYPE OF COVERAGE 3,
221,HAZ INS POL NUM 3,
222,HAZ INS TYPE 4,
223,HAZ INS PAYEE 4,
224,HAZ INS DUE DATE 4,46113
225,HAZ INS EXP DATE 4,
226,HAZ INS PREM AMT 4,0
227,HAZ INS ESROW IND 4,
228,HAZ INS AMT COVER 4,0
229,HAZ INS TYPE OF COVERAGE 4,
230,HAZ INS POL NUM 4,
231,MORTGAGOR LANGUAGE PREF,ENG
232,BORROWER DEMOGRAPHICS RACE 1,5
233,BORROWER DEMOGRAPHICS RACE 2,
234,BORROWER DEMOGRAPHICS RACE 3,
235,BORROWER DEMOGRAPHICS RACE 4,
236,BORROWER DEMOGRAPHICS RACE 5,
237,BORROWER DEMOGRAPHICS RACE SUBCATEGORY CODE,
238,BORROWER DEMOGRAPHICS RACE SUBCATEGORY CODE,
239,BORROWER DEMOGRAPHICS RACE SUBCATEGORY CODE,
240,BORROWER DEMOGRAPHICS GENDER,M
241,BORROWER DEMOGRAPHICS AGE,25
242,BORROWER ETHNICITY CODE,1
243,BORROWER ETHNICITY SUBCATEGORY CODE,
244,CO BORROWER PREFERRED LANGUAGE,ENG
245,COBORROWER DEMOGRAPHICS RACE 1,8
246,COBORROWER DEMOGRAPHICS RACE 2,
247,COBORROWER DEMOGRAPHICS RACE 3,
248,COBORROWER DEMOGRAPHICS RACE 4,
249,COBORROWER DEMOGRAPHICS RACE 5,
250,COBORROWER DEMOGRAPHICS RACE SUBCATEGORY CODE,
251,COBORROWER DEMOGRAPHICS RACE SUBCATEGORY CODE,
252,COBORROWER DEMOGRAPHICS RACE SUBCATEGORY CODE,
253,COBORROWER DEMOGRAPHICS GENDER,5
254,COBORROWER DEMOGRAPHICS AGE,
255,COBORROWER ETHNICITY CODE,5
256,CO BORROWER ETHNICITY SUBCATEGORY CODE,
257,ADDITIONAL BORROWER PREFERRED LANGUAGE,ENG
258,ADDITIONAL BORROWER DEMOGRAPHICS RACE 1,
259,ADDITIONAL BORROWER DEMOGRAPHICS RACE 2,
260,ADDITIONAL BORROWER DEMOGRAPHICS RACE 3,
261,ADDITIONAL BORROWER DEMOGRAPHICS RACE 4,
262,ADDITIONAL BORROWER DEMOGRAPHICS RACE 5,
263,ADDITIONAL BORROWER DEMOGRAPHICS RACE SUBCATEGORY CODE,
264,ADDITIONAL BORROWER DEMOGRAPHICS RACE SUBCATEGORY CODE,
265,ADDITIONAL BORROWER DEMOGRAPHICS RACE SUBCATEGORY CODE,
266,ADDITIONAL BORROWER DEMOGRAPHICS GENDER,
267,ADDITIONAL BORROWER DEMOGRAPHICS AGE,
268,ADDITIONAL BORROWER ETHNICITY CODE,
269,ADDITIONAL BORROWER ETHNICITY SUBCATEGORY CODE,
270,ADDITIONAL BORROWER PREFERRED LANGUAGE,
271,ADDITIONAL BORROWER DEMOGRAPHICS RACE 1,
272,ADDITIONAL BORROWER DEMOGRAPHICS RACE 2,
273,ADDITIONAL BORROWER DEMOGRAPHICS RACE 3,
274,ADDITIONAL BORROWER DEMOGRAPHICS RACE 4,
275,ADDITIONAL BORROWER DEMOGRAPHICS RACE 5,
276,ADDITIONAL BORROWER DEMOGRAPHICS RACE SUBCATEGORY CODE,
277,ADDITIONAL BORROWER DEMOGRAPHICS RACE SUBCATEGORY CODE,
278,ADDITIONAL BORROWER DEMOGRAPHICS RACE SUBCATEGORY CODE,
279,ADDITIONAL BORROWER DEMOGRAPHICS GENDER,
280,ADDITIONAL BORROWER DEMOGRAPHICS AGE,
281,ADDITIONAL BORROWER ETHNICITY CODE,
282,ADDITIONAL BORROWER ETHNICITY SUBCATEGORY CODE,
283,Property Inspection Waiver,
284,Correspondent Loan,N
285,Seller Name,
286,Seller Street,
287,Seller City,
288,Seller State,
289,Seller ZIP,
290,Seller Phone Number,
